material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence,family
de5b2b3816,Cs5Sb2Au,8,378.2705558680876,4.850810102600204,1105.0138285,5.813654771571005,4.771663946173973,0.1835546395217415,0.3119588423875266,0.1777735693770104,1.2045307817868522,0.4709553332884309,0.0243649604826214,0.4681452899310091,5.509762282871214,R-3m,trigonal,226.1346693667367,moderate,wide,non-oxide
00b4c5137e,CsCu2AuSe2,6,184.0725641373465,5.546937124194234,614.8840209,14.971379370128137,8.922282520910922,0.2195758944582726,0.2063351398279158,0.2514057653828023,1.5067705164558285,0.8800306149793024,0.090526313781977,0.8848309612533409,5.743072519226036,C2/m,monoclinic,63.44091877039877,moderate,wide,non-oxide
0ee58daf7a,Cs2Hg(ClF)2,7,204.3296061798123,4.675359117763103,575.3037102000001,17.705548300130484,8.80694756913916,0.2358370014266003,0.2324788807981926,0.2866657791178877,1.6929773341025744,0.6954872011833663,0.053261582335201,0.6742808003329228,5.991525568008218,I4/mmm,tetragonal,112.49244399651212,moderate,wide,non-oxide
fe6f83c2bd,BaNa(AgTe2)2,8,243.7026154807268,6.040108012192452,886.45316928,30.80218030425589,13.6520514908816,0.1900381489838993,0.1788473505716739,0.3069173202074499,1.816427650349616,0.971059488760847,0.14825635965441,0.9385331718445804,6.160955560864705,I4mm,tetragonal,41.55609631334583,moderate,wide,non-oxide
2103477c87,Gd2ICl5,8,311.88105762316854,3.2939635177340545,618.66947,10.601648457478689,6.445417149598175,0.2062083877985816,0.2543101613129175,0.2472409387276287,1.486843624086064,0.639241351924087,0.0543382066227236,0.6734105557178857,6.189584142800312,P1,triclinic,113.90850982210917,moderate,wide,non-oxide
8344cb67c9,MgMnCl6,8,210.1122643046233,2.3073984920857487,291.961045,7.902394786640953,4.096512276562348,0.2313407808524622,0.3601846616315519,0.2789945525883744,1.6495828641547268,0.2894019026238521,0.007668224139987,0.3060425871649905,6.235109396612861,C2,monoclinic,813.1099564629275,moderate,wide,non-oxide
cb3cf94167,Rb3Li(SbAu)2,8,280.50493244042576,5.332560436717565,900.797538,19.67778753877538,8.035063661779715,0.2058122930492453,0.2899051235307898,0.3202940465206043,1.9058868538221168,0.4479669350614015,0.0230129648946744,0.4331477453098578,6.269175919227138,C2/m,monoclinic,272.4193057226594,moderate,wide,non-oxide
0c86c8636a,AlRhBr6,8,241.26094733391275,4.193736267308856,609.3110386,9.723917563810684,4.179708777947226,0.5162174694299182,0.3952449369158962,0.312015339337466,1.8497256858136668,0.1904386906023719,0.0044050054301303,0.2133027902665377,6.320720425177207,C2,monoclinic,1434.8950359841378,wide,wide,non-oxide
19662eb567,Li2VAgS4,8,212.86507587526225,2.347693973062716,300.9517,19.433026494839343,5.732930774844545,0.2669561167801418,0.3434280265222545,0.3657016056901097,2.2688706809666663,0.2597296475226578,0.0099080921814691,0.2603732952381421,6.364662631525258,P-42m,tetragonal,642.3701470429301,moderate,wide,non-oxide
0af99d013d,Rb4NaAgBi2,8,351.45933061364343,4.208240793329444,890.68996928,14.487301430500365,7.487324678862915,0.4331773641914941,0.2566874652555722,0.279565123059523,1.6527512537616107,0.626628245800912,0.0311667483864967,0.5943257845877703,6.436890922664814,C2/m,monoclinic,206.53071802169936,moderate,wide,non-oxide
