material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),in_training_set,verified_perovskite,K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95
JVASP-136065,TaBiO3,5,67.62427704612105,10.753446263960093,False,True,192.803438570916,95.90509577741952,2.132298014378309,0.05543184680087775,0.05490155325418251,10.284905355036457,7.471785514156825,10.340800253405064,14.351624675665862
JVASP-101255,FeBiO3,5,56.48951828699411,9.195614075537257,True,True,175.49323337246722,92.92105620538334,2.1092154228507733,0.04804205524840989,0.050463228364671625,10.207641456437754,7.2333817981893365,10.089600728453256,14.363352931176664
JVASP-37676,LaBeO3,5,50.70265152307214,6.416349376101357,False,True,153.5686292967768,85.40584619631132,2.0234465419242036,0.033007286279824896,0.019682427982438855,11.30427447308922,8.797356066028295,11.270892113185617,14.364071722739407
JVASP-180525,HfTaO3,5,67.5604843455685,10.014190032549587,False,True,195.58730788885342,98.23926231677383,2.136571252343469,0.06313757735244468,0.04993450154260836,10.99617631625751,8.344355394592712,11.09528915954944,14.380994099979867
JVASP-36600,MgOsO3,5,59.91598239779959,7.275965744735884,False,True,194.77586867938345,104.54945169992807,2.148032130009836,0.05528429497083413,0.01679822549449224,13.431346331268642,12.522722268120662,13.428263135806068,14.402972899039254
JVASP-16002,LaTiO3,5,61.58415693059578,6.330294822593311,True,True,175.0339643762068,96.71250075268576,2.129115548789725,0.08919014684915405,0.02518365457838842,13.166358589112388,11.959127215484324,13.165253838676271,14.409544187515781
JVASP-8636,SmVO3,5,57.18599818159919,7.239042858103673,False,True,176.13492418315474,95.71314235762735,2.1083378990701487,0.0464350399792858,0.01817383056580105,12.079476947360465,10.077955911350504,12.095704695533422,14.417046747433739
JVASP-13827,MgSiO3,10,83.39158203770816,3.9979900693744064,True,True,160.95972557279558,95.67589554815464,2.004589444336934,0.047672072332012407,0.039869588025907766,10.195348496906075,7.287153370071662,10.222645964074907,14.421096076990924
JVASP-183409,SiSbO3,5,52.23618952857598,6.289264135738038,False,True,169.78249816365772,86.58120514726409,2.0508481251129016,0.05592304660212677,0.05371683134525323,11.475810728842205,9.173251307650098,11.555995751299339,14.426011118757327
JVASP-137208,BiAuO3,5,69.43768383653276,10.85568594203892,False,True,183.68436436209234,90.40905390620215,2.084894864656543,0.08399400865612996,0.0698904907801427,9.912748493192147,6.746616456348113,9.777370578923927,14.426917665659893
