material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,family
4722f1dd9c,PrBiPtO6,9,134.1284576808519,7.935326861825548,640.9684500000001,88.84208246881687,41.49256735610395,0.0700789610342615,0.0546761322558803,0.2979381516608502,1.760018684262019,3.4557934804481865,1.9408087865322377,3.459354314791693,6.168842213067267,False,103.142578125,39.403053283691406,2.5789440504790924,False,True,P312,trigonal,3.4557934804481865,complex oxide (4 elements)
0b2366a8d2,LaSbPdO6,9,127.79850454696142,6.017015144030616,463.08187,122.90691668039965,39.34876676630076,0.0388471673488354,0.1050630702816592,0.355360060679822,2.176889334524911,2.3950149940087595,0.8328987165203919,2.4480386122493405,6.665215109160414,False,124.82708740234376,45.68067932128906,3.47101450506555,False,True,P312,trigonal,3.47101450506555,complex oxide (4 elements)
a92f3ad880,Rb2Ga2As2O,7,178.039045250451,4.441659909784134,476.2242,18.005369922388006,17.47717112714532,0.1070689969361517,0.0899634395729429,0.1333116012751813,1.0624363344551015,3.519735705424686,1.4306114734290698,3.5542293995647536,7.723189594280834,False,29.237585067749023,16.62114143371582,2.0232712869805143,False,True,C2/m,monoclinic,3.519735705424686,complex oxide (4 elements)
63d5d2d109,EuTiWO6,9,123.70975547033451,6.438509677422155,479.6674,83.82041709837578,37.26618800807982,0.0652126092206731,0.0760391028937109,0.3063942860885588,1.8130647206320187,3.017713040442569,1.3543317356587634,3.014193081090741,6.333582834200309,False,114.48013305664062,46.00172424316406,3.713731865047624,False,True,P312,trigonal,3.713731865047624,complex oxide (4 elements)
296dc96962,LaSbPtO6,9,128.70561324748397,7.118536248209559,551.74587,126.29118453915838,48.782776604293616,0.0490136099213533,0.0734190816713323,0.3288949333019467,1.9671494119181208,3.7444151927825153,1.7577855446400306,3.749213257936426,8.156332542663403,False,130.37881469726562,47.394187927246094,3.355694957793015,False,True,P312,trigonal,3.7444151927825153,complex oxide (4 elements)
8e384a35ae,SrOsPbO6,9,144.78053417976292,6.66422633071195,581.0464,72.59703430685525,26.51645599116179,0.0160095062154116,0.0438056162164861,0.3371942146861121,2.029295934527833,1.5174083382469667,0.9965178305522044,1.5374980537060554,2.315284145313756,False,58.74616622924805,34.72429275512695,3.763121311019363,False,True,P312,trigonal,3.763121311019363,complex oxide (4 elements)
f0dce67224,BaCrOsO6,9,138.3628945557536,5.707227551799828,475.5495,70.96261882944114,36.96738758327875,0.0886394708989169,0.0452870236001888,0.2780671701290076,1.644452941288295,3.877087230905016,2.1936050398233338,3.8879642470860687,6.52080685741796,False,97.01223754882812,34.60317611694336,2.345862256854228,False,True,P312,trigonal,3.877087230905016,complex oxide (4 elements)
503151db32,Ba2TmCuO4,8,152.77474133574592,6.207745309964355,571.13181,85.4678363746123,36.34182431855223,0.0129305014281554,0.0033743031250889,0.3137878550041646,1.861528393862152,3.406498061716176,3.2180710392780174,3.405864060244407,3.6277461043607153,False,87.98165130615234,38.95542144775391,3.947166542303337,False,True,P4/mmm,tetragonal,3.947166542303337,complex oxide (4 elements)
149054b253,Ba2ErCuO4,8,154.61989227843438,6.115674499704957,569.4566,82.79105422479051,35.30439016498124,0.0252121445387529,0.0070842968020184,0.3133211996598783,1.8584095768726068,3.3094219939739427,2.9212400197123083,3.310591360143236,3.761598755451825,False,89.18191528320312,39.448516845703125,4.064566414045608,False,True,P4/mmm,tetragonal,4.064566414045608,complex oxide (4 elements)
129caa3e7d,LaCoSbO6,9,120.06240498578568,5.747942849925002,415.595065,121.0110709293221,45.93965141608715,0.0488963313754514,0.0196523766759344,0.3315059918260274,1.9863696605503107,3.651267937740705,2.75095774701513,3.664174784222187,4.845520495766819,False,118.14567565917967,47.93046951293945,4.181703178475646,False,True,P312,trigonal,4.181703178475646,complex oxide (4 elements)
