material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,id_unverifiable
1a22964b62,Rb8Dy5HoBeBr20,35,1317.0660144745257,4.1205843121813865,3268.264902,15.889394326314564,8.418697938927455,0.0455653823400917,0.0260314870860102,0.2748484725530981,1.6268367468709009,0.274933848867701,0.2060226298162509,0.2739426578411749,0.3725816641053065,False
1a25808ef7,K2Hg(AuS)4,22,584.7809569355655,6.786129031804943,2389.825752,21.28147560597738,8.472715874198556,0.1014498683922158,0.0616800416182312,0.3242591820116147,1.93374742281948,0.1943552101750027,0.0939181560605669,0.1917387182767764,0.3837445583412623,False
1a29bf0f69,KRb11Na8(ZrAs3)4,36,1175.2743079764855,3.429261858503765,2427.11745424,17.81186580479736,10.299911566525672,0.1584724453642705,0.0440302088023397,0.2575940382869751,1.5371280685146524,0.4167017439395135,0.1932048300656717,0.4164105590276122,0.8144254706741958,False
1a348160ac,Pr4I5N2Cl,12,437.307923608341,4.790602016753617,1261.61935,17.73566855478437,10.951826806097612,0.0429878812698132,0.0447504961764564,0.2439520082178483,1.4713849914533592,0.8893479373341618,0.5640786413601226,0.8873858543926737,1.378802481510065,False
1a3b944a3f,Rb5PrO4,20,544.5773005853282,3.8557107580378234,1264.4885000000002,21.879747860775257,9.385624407373124,0.038418451687991,0.036889182375821,0.3123497316517412,1.8519432772758369,0.3499067844801162,0.2357228098956796,0.3485806367473226,0.504163452009769,False
1a3ee78f3b,CsH3Pb,10,260.19164341482417,4.379691478189578,686.2585438,14.457574316562845,8.168132351398853,0.1824976643105575,0.0999717081392374,0.2622818159395234,1.560743204981289,0.5541721028952941,0.1636215427481659,0.5484619265739147,1.574702105652955,False
1a4268d30a,K5Ag(ClO)2,20,533.8719783236023,2.527265344338169,812.529,24.21382519461353,10.774321706226038,0.0175118452109941,0.0297244748974489,0.3062539340942845,1.812163966532381,0.549074516087728,0.4095518904958125,0.5493217976232988,0.7340943951029942,False
1a43d64226,Cs6CaTe4,22,1192.3205567962657,3.754457448439189,2695.8214228,10.561758152487098,5.042570946933684,0.1160113449123887,0.1011695433575943,0.2940566255080292,1.73647578240798,0.1845873512773807,0.0582878823365549,0.1939045795518578,0.5017250653418859,False
1a4c66f176,CsSc3Se5,36,1004.6010098579624,4.380758743941059,2650.2927516,41.68092423035875,21.781949050451296,0.0136102592322513,0.0114908892852384,0.277469875725732,1.6411618819328908,0.9720515889587577,0.8662251185000488,0.9761565255668748,1.0948853808225787,False
1a52f7fc96,Cs3K3(Pb4Au)2,16,686.2506335273399,6.212756052421926,2567.5443936999995,26.429429496138997,9.44655311342795,0.0517679237547464,0.0780106618135078,0.3403126729664741,2.053464487702519,0.3083444544047581,0.1401237806731823,0.3179638068257995,0.6934633487083411,False
