material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern
6638b90b52,V3AsBr4(OF8)4,44,701.3254962067716,2.8869755659909693,1219.3086024,7.213706182484817,3.93227939583518,0.0968016217186888,0.0998244768327537,0.2693533293138118,1.5974209899056275,0.069575561090166,0.0234229288162025,0.0675483041671484,0.1813062759219071,complex oxide (5 elements)
a054091c6d,BaAg3(NO3)8,36,530.7877456733979,2.9938283507272554,956.9708,17.418539542547848,5.535711651502142,0.0940632392752426,0.0947220398368214,0.356318111433929,2.185152932993025,0.0714147689383516,0.0267515222299283,0.0703898408812259,0.1954822743833109,complex oxide (4 elements)
fecadc6764,TbP2Cl8O3,28,843.4058328504879,2.1755591911479764,1104.990148,5.381142079207371,2.7259925358164234,0.0904503097209546,0.0873606171463406,0.2833007548976291,1.6737283043448654,0.0717486766385489,0.0284094464829945,0.0712513642835343,0.1739701687125993,complex oxide (4 elements)
660939cd61,IrOF8,20,346.77335352302646,3.44970100498633,720.4072512,3.993025350798576,2.625186771273574,0.0365516924705176,0.0554064085643924,0.2303677560137883,1.4100055328727092,0.0725167611346402,0.0424396094403615,0.0719171688759967,0.1205031274091,"ternary oxide (A-B-O, other ratio)"
754dfafdba,AsNOF14,17,258.2965686542834,2.3844792794595637,370.9053448,10.44931380101693,3.5632975330917884,0.0398183094184786,0.1100872096007145,0.3468989797407557,2.1060586088125084,0.0744059065998796,0.0249302923034042,0.0753876858995344,0.2243672949252445,complex oxide (4 elements)
d68525dce6,TaReOF10,26,450.02093925662274,4.229663448740753,1146.276624,8.90952422481381,4.155242696772163,0.0412204206462872,0.1322264130580145,0.2981834831531918,1.761523376419862,0.0776216412001467,0.0213991203160057,0.0824975032433082,0.2873316622678112,complex oxide (4 elements)
6fa8b5e0d7,ZnAg3CN7O24,36,490.29354497358,2.990759987579461,883.0568,18.362542929715445,5.915428458842606,0.0783040690469806,0.0684229797214222,0.354545934440746,2.169907017679768,0.0780294719720504,0.0365675750941441,0.0784405356880018,0.1648887740043932,complex oxide (5 elements)
1d91b2fd3b,Cs16Hf3TiO16,36,972.617115142506,5.063504423559469,2965.8146304000006,20.11575859485768,6.292133742243199,0.0194277638945882,0.0661415541398875,0.3583690839942574,2.203016112256761,0.0800108915339715,0.0406705901347022,0.0795706953469087,0.1537742011118956,complex oxide (4 elements)
b2a8dae41d,ZrP2Br8O3,28,921.7271197628944,3.0280543262060173,1680.803448,4.77557871274507,2.8909118828526865,0.0721512196966827,0.0724222060080039,0.2481440078826147,1.4911307448787716,0.081772087998154,0.0392405309451977,0.083789436035181,0.1619301530809647,complex oxide (4 elements)
171465d686,ZnNiAg2(NO3)8,36,474.5016897463209,2.925191007418269,835.8779999999999,17.30798540712529,5.930939891542137,0.0601142430743828,0.0840317810159598,0.3462289203674364,2.1006091447015494,0.0838779811771348,0.0372377121805621,0.0834098015018646,0.2079978961878563,complex oxide (5 elements)
98ab9cf815,ZnAg(NO3)4,36,478.9116869332975,2.921539879265516,842.5935999999999,19.584553212074034,6.287074437965456,0.0411748403161317,0.0719716694757145,0.3550045322952332,2.1738356746931,0.0854983287027181,0.041828943084111,0.0858060387794036,0.175467459775125,complex oxide (4 elements)
37da76973c,MnAg(NO3)4,36,496.7560230341046,2.7465892088347617,821.6516899999999,14.17797314523682,5.401912453214953,0.0799998701664918,0.077253550126486,0.3309642628379119,1.9823573612491177,0.0858169360312977,0.037890987845235,0.0878365528290819,0.190916133554571,complex oxide (4 elements)
4f1315122b,K2Re2OF10,30,494.1184658596276,4.413111906914436,1313.188064,11.98794465771381,5.16813210964348,0.0340866093109012,0.0486568408056212,0.3115286259630129,1.8465054086636448,0.0867133683081697,0.053561621144319,0.0864831935671298,0.1421963296336516,complex oxide (4 elements)
9bc5b2f412,NiAg(NO3)4,36,467.6384227396418,2.944275946388688,829.1623999999999,15.50217564001094,5.752424919575238,0.0849032827353247,0.0927922213874663,0.3348869030927818,2.011706333010742,0.0867302667808389,0.0335249543207518,0.084348694606725,0.2210229271321042,complex oxide (4 elements)
e48ac7bc6e,KOs2O4F7,28,457.7743919901506,4.472930846265701,1233.0894448,10.20228357196166,4.795298834918396,0.0657530109794871,0.1405585841895375,0.2968217087480677,1.7531964151225383,0.0881045835566576,0.02231468447154,0.0894106680550345,0.3201510704589026,complex oxide (4 elements)
a28c9868c9,KI2Cl7O2,24,742.643434005045,2.5627825436737512,1146.15408,5.606007701040372,2.9973727702423685,0.0750518729192179,0.1319318762636705,0.2731027336472593,1.617402697295029,0.0900564327133935,0.025154176449039,0.0895715385017548,0.3161132653735783,complex oxide (4 elements)
4025f5d871,Ru2Br8O,11,333.8925405238748,4.26394283634149,857.3714,11.810407159271694,3.706194455328522,0.0687084254895397,0.1358095050731612,0.3579545544731561,2.199386581926444,0.090645802284212,0.0243745904270693,0.0928941303217738,0.3560003004148672,"ternary oxide (A-B-O, other ratio)"
69db026891,FeHg3(NO3)8,36,504.2173178858076,3.799329779381955,1153.6542,13.20657383274086,5.710553749585571,0.1015936558222109,0.1212495362899029,0.3110351067238988,1.8432491015911037,0.0913600249106863,0.0259986815037178,0.093021207924534,0.3138557369461311,complex oxide (4 elements)
551aae45a2,CsRb(CO3)2,20,440.4701843925604,2.551417018283774,676.7821038,14.75513834899978,4.53617419138218,0.0197333540043226,0.0905795725689903,0.3605729568798171,2.2224778121498505,0.0935614252892194,0.037575707841423,0.095104888616924,0.2325410854774686,complex oxide (4 elements)
2d4e39bc93,Ta2Br8O,11,398.04421199344455,4.243195445001119,1017.12716,7.408462863809473,3.024359528473368,0.0374229020273688,0.0958972962358582,0.3203332852602057,1.9061594350194144,0.0947497827630542,0.036248299669104,0.0947194967648329,0.2449517851644236,"ternary oxide (A-B-O, other ratio)"
598433b870,CsK(CO3)2,20,404.1895127877263,2.399434822304594,584.0431037999999,15.453482182231472,4.64635459245098,0.0311629928651833,0.0652821392341488,0.3633607336075881,2.247500930590154,0.0948244691042325,0.0486808618664765,0.0966819384134245,0.1821896246671933,complex oxide (4 elements)
da1e502094,Rb2Cu(Se4O13)2,37,673.4644956207765,3.161344865102374,1282.146,12.337626661417533,5.320472238992282,0.0351721123752336,0.0415064143743672,0.3114794142357976,1.8461802968154863,0.096235054809777,0.0630299967010748,0.095275695333179,0.1487676458360523,complex oxide (4 elements)
5e1ec503d0,Ta2Br7ClO,11,393.5076998150768,4.104536622399268,972.67616,7.1973520705970495,3.0088553060239134,0.0261028443152294,0.0835088689570588,0.3165400108948191,1.880091088741204,0.0976995130630098,0.0434867342175227,0.0980628121632206,0.2156614427818259,complex oxide (4 elements)
5c78fb5857,Ta2Cl8O,11,339.7483954548614,3.233211472709024,661.51916,6.664721511011911,2.854430005964536,0.0440932521374973,0.0173205753241812,0.3126079483077848,1.853658560353958,0.099398080119183,0.077259689474543,0.0993494609014335,0.1272534645055204,"ternary oxide (A-B-O, other ratio)"
40bfba50d6,Cs2Na(CO3)3,30,570.2297456241159,2.7305000328469298,937.65474616,14.994585802096095,5.368471474695951,0.0355358352331856,0.0760691190914474,0.3400724776041628,2.051586529219751,0.1000950401833347,0.0453692788947432,0.1026614307490934,0.2151723441299915,complex oxide (4 elements)
f62f3cdbcf,ZnCdAg2(NO3)8,36,493.7170180629134,2.9920140390037977,889.5956,19.173955035139084,6.695650703724154,0.0542934127675435,0.0596137439951614,0.3436022332997732,2.0794647979307106,0.1029257289723371,0.0553465068843624,0.1046773246967205,0.1930778250080115,complex oxide (5 elements)
6b5a97c315,KRb(CO3)2,20,381.8363059138817,2.12730489630508,489.1678,16.5089750510913,4.862861644286343,0.0444285864774213,0.0595200776546242,0.365888562983727,2.270591752289848,0.1034224367931577,0.0562749741870836,0.1032365324080507,0.1912431523767152,complex oxide (4 elements)
7c5e9204bf,TlSbS6(O3F)6,32,526.0029937383595,2.905967616103565,920.5129192,11.769291404142953,5.212555253682591,0.0308557556336523,0.0448422963968907,0.3070397332026545,1.8172161364736183,0.1066307144428294,0.0689834313960069,0.107457315992243,0.1695956173843271,complex oxide (5 elements)
fa63c128cb,Fe3Hg(NO3)8,36,475.565630954953,3.017414048993632,864.1641999999999,13.281337774303974,5.86955843877224,0.0774000126182012,0.0770364340161456,0.3074021057891191,1.8195533990266528,0.1072265578923955,0.0478903307542119,0.1082212546613879,0.234900261626119,complex oxide (4 elements)
403c7fca3f,SiAg2(O2F3)2,13,191.17062530017023,3.6639093971147063,421.8099192,27.67386440295741,6.358250202103896,0.0265842537506738,0.0514099915332689,0.3932938911147765,2.548340609817433,0.109437764657027,0.0663937118751057,0.1091091673735197,0.1850293526663156,complex oxide (4 elements)
a5be6dd06b,CsRb2AuO2,24,668.5981926867562,5.293139513408133,2131.2256836,15.841113635844872,5.8222182161910245,0.0581523403308174,0.0722445445825447,0.3362876410381018,2.0223554423525205,0.1101433667500931,0.0523474025307079,0.1082722198003122,0.2271309649327796,complex oxide (4 elements)
5e4005cd75,Cs2RbAuO,10,394.1587169036542,4.7541778650725846,1128.4893456000002,5.913966206243581,2.924660369425752,0.0615878187852809,0.1347991959244753,0.2877251575043187,1.6991080765351378,0.1143246589419958,0.0299047512284821,0.1169943911522615,0.4137732233172439,complex oxide (4 elements)
85705ad319,Fe3Pb(NO3)8,36,494.3710732592872,2.9248365398377283,870.7742000000001,13.861078592892753,6.06538997841713,0.0452032491831198,0.1160701438966742,0.3090588170578898,1.8302993327607329,0.1146802117283348,0.0364246415542012,0.1136839178140783,0.3483177044628949,complex oxide (4 elements)
