material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate
f1e9784bdc,RbGaPH,4,87.73145184531634,3.542711828666717,187.172502,19.07476365583819,16.912626005044363,0.057602787727199,0.086818303613981,0.1578096305656114,1.1376570907193655,4.821437120732297,2.094060696636429,4.720528344547734,10.17991840731706,False
398ee92965,BaGaSbO,4,107.95298033074876,5.303878394803111,344.8094,34.65129440496693,22.64551580191213,0.046031289178913,0.0493572440330357,0.2316869276894665,1.41579804450849,4.992839387494784,3.0044986285942143,5.01059827711458,7.963725355698732,False
a31cad7eb6,CaAsPbI,4,133.60238025851692,5.581897963217177,449.10407,23.426085097440936,19.201393384834997,0.0052183362687694,0.1176020511080677,0.1781157447189995,1.2057246151765504,5.004426531823189,1.6666738202495803,5.016765146957219,13.438735614520157,False
7526b61a78,NaAlPH,4,71.40355587654207,1.9058739169324004,81.95300988000001,22.24657190930717,16.68798282821658,0.046342328014714,0.0692376807993584,0.1999560736356526,1.2855462159564834,5.211209908672335,2.737701597611992,5.257877918580217,9.932016008210152,False
70b616e9be,SrPbSe2,4,122.9487464622549,6.114681765329261,452.74,36.72306343531759,24.025773702007587,0.0206206992152865,0.0533586227764222,0.2314455067712258,1.414735334866385,5.312264048317886,3.216667653042347,5.320614938495175,8.669825136903995,False
2e2d403e33,LiNdNiSn,4,74.9385549696744,7.281039178518672,328.5864,72.84889072339121,35.657476701238856,0.0134923452015073,0.0422337035289966,0.2895934614390816,1.7100041100251857,5.59346268732456,3.647133538144569,5.593479888683008,8.432634248972295,False
a2bd2e96de,KAlPH,4,82.55588590277262,1.9724216819205131,98.0615406,19.078172481148165,16.108138550339067,0.0193080087651715,0.0699553725167206,0.1705572289670479,1.1797369088509355,5.650352479234602,2.9835282432316137,5.676572938928684,10.23215898067568,False
00efe68785,LiTmNiSn,4,68.44619845484776,8.570716085945062,353.27861,85.5994858516391,42.18247753477097,0.0213126517314849,0.0493550626773257,0.2883687256407316,1.702849243835039,6.481319944722991,3.905382446653492,6.436423348321407,10.16035031184373,False
5f89bae215,KInAsH,4,102.85431030980804,3.710763272818717,229.84584,10.822891935418378,16.05534833983355,0.2905019967531372,0.0342062992998529,0.0036886792973956,0.7569547544708695,6.6339072644063934,2.4129395318079947,6.489204107702985,11.025338804822493,False
b266412388,KGaSbH,4,103.32609346393444,3.7218379991857575,231.58924,24.572386538842128,21.311467726557428,0.0505621516018466,0.0808253239984468,0.1636045107289161,1.1565216116881802,6.899425291760947,3.305987249718888,7.014102746060978,14.033552215755352,False
0575e76bf4,SrCeP2,4,107.2493924918356,4.485161156144014,289.68352400000003,65.53919471315555,33.58693800886287,0.0207980832836452,0.029830325900225,0.2811493599555256,1.6615977255146424,7.698085656185331,5.730226563551224,7.797897676242444,10.429927455422018,False
dcd539b052,AlZnPS,4,81.97792912464595,3.148364795953553,155.4293006,70.30032389241022,38.63000386525604,0.0181288456548613,0.0130898177614338,0.2677843174703655,1.5891707417297294,11.12266643130257,9.612313488861169,11.08457419336052,12.775415678170065,False
a654f1bf04,LiNbGeRu,4,57.63254031788146,7.881879135916813,273.55738,150.73559569598115,70.91913018601079,0.0195292340534218,0.044790253942578,0.2966480119483221,1.7521387035679608,13.257285364733118,8.640369544327118,13.145675480675722,20.48882279914801,False
023d1ffcd0,TiAlIrRu,4,56.86328564554439,10.750406656304534,368.1355386,226.3879527777065,105.44256837697206,0.0134606123726746,0.0234562329098881,0.2984163178108928,1.7629532760054771,20.27173247677528,16.091193767406406,20.229375445714656,25.26357323553941,False
d608f43862,LaBeGeH,4,63.42054925218487,5.801247800321022,221.565592,83.77959581784881,63.782930276197646,0.0280479982947721,0.0346983710506673,0.1963890775171863,1.2720030734198005,21.738453745895534,15.454861897759988,21.48546225187789,29.939427911694768,False
cf52c03662,LaBeSiH,4,61.75780327527127,4.759460639946171,177.011092,90.32210620218528,75.83879005357721,0.030606373057168,0.0189062269914132,0.1719823836509622,1.184576126520838,33.57440339146153,27.45146979533565,33.602368516903866,40.67968646912592,False
fa19f362f9,ErTmN2,4,56.47061479515728,10.70962849010408,364.20661,163.12762508679222,129.98377268697655,0.0072182462292098,0.0219389232450702,0.1852015527851961,1.2308280689646969,46.60644365735198,38.31826122076357,46.71533136049679,56.72777675095807,False
0a7c624c48,Ru(IF)2,5,143.35853838054362,4.550726684981649,392.8757464,18.41628577208736,6.32881991821921,0.0644462405401478,0.0595606259537048,0.3458332580298603,2.0974019877608607,0.3592645997516568,0.1952177631863263,0.3587240074040765,0.6923260849745336,True
a6f22ba0f3,CsNaHgS2,5,146.2889591330565,4.774441023375841,420.61522118,17.756724889523188,8.025979032183999,0.0352698021110786,0.2382027589686657,0.303593409677058,1.7952209155883485,0.6784531917903944,0.0621973866969184,0.6238351874525869,5.867134549393506,True
89fc3780f4,CsMgAgTe2,5,172.271895513547,5.014996936264861,520.2786519,19.1841803580945,9.52546721107754,0.0262500791781826,0.0316504314496939,0.2869912780380729,1.6948573921090182,0.9971857909695424,0.7190428926257553,1.0052206763235336,1.3630492571861543,True
4b79586c01,RbMnAgTe2,5,160.03101038226322,5.224226978962741,503.474045,19.864761037679617,10.25649198785435,0.0436945193851715,0.015499039267847,0.2797485001482138,1.6537715347712685,1.1088016433177947,0.8766872779857876,1.098582914288937,1.3797535164042602,False
84bb001fdf,CsLiHgSe2,5,150.14884730339213,5.511466611236549,498.3564519,18.10796643118932,11.166511691475923,0.0501032491639537,0.0447262037406731,0.2442409158030931,1.4727332711837122,1.4327311734343833,0.8941270520211796,1.4145070596291904,2.237417952450191,False
6066ed3960,TmLuCBr2,5,124.51303867831464,6.877778168978645,515.71991,21.23488197128763,12.917740148917748,0.029800069787884,0.0280221497649032,0.2471155465257846,1.4862498115927003,1.4796201910030569,1.091162136649219,1.4924797811482675,1.9575942068103829,False
0be84ffc61,ErTmCBr2,5,126.527147858484,6.6671353801097055,508.01191,20.44033014723797,12.782975440071564,0.0377365461292186,0.0151808369493267,0.2412491634969245,1.4588600072264355,1.5275511189541824,1.2574991633351795,1.5286383641859491,1.8544136697958769,False
