material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system,space_group_order
c708d44da4,K16HfTiBi8,26,1157.6141423741512,3.6202250077823614,2523.773,24.3052040885112,11.276141096268258,0.0794792507934115,0.0518142360726801,0.2990989500869994,1.7671559436387971,0.5110874467779272,0.2848217791333572,0.518061935197663,0.934996165360474,True,F-43m,216.0,cubic,96
c3545c5905,Rb16HfTiSb8,26,1239.3169203269856,3.4407135131394044,2567.9218,10.86742305393253,8.11106390597942,0.1032172739369001,0.0993456337613067,0.2011643375226748,1.290180802888232,0.5211428252492865,0.1884154012431733,0.5281336868534374,1.2960967744935077,True,F-43m,216.0,cubic,96
f04e9f4442,K16ZrTiBi8,26,1159.9082818618017,3.488133612342908,2436.507,24.056954458369823,11.439504861343888,0.0901532276802858,0.0510697141818904,0.2947711790541481,1.7407729082252037,0.5463162299605544,0.2962686840448489,0.5446939445805223,0.9733285210479876,True,F-43m,216.0,cubic,96
b730cd6f43,Rb16HfZrSb8,26,1243.4376790531717,3.4872117358903947,2611.2788,11.097299201471294,8.364347835662791,0.0970092034429339,0.0821494069972516,0.198808146991005,1.2811652418150543,0.5474688698556378,0.2354666176974776,0.546587487261341,1.1609653835005518,True,F-43m,216.0,cubic,96
cb05d3e591,K6SbIO5,13,347.2432501604565,2.693503009839982,563.25127,25.65071172602778,9.988832686165008,0.0205327394188749,0.0710894362070276,0.3276618101072591,1.9581752066649205,0.5484005363772717,0.2690649701613495,0.5389539991294976,1.089649250592793,True,F-43m,216.0,cubic,96
46eece1656,K6SbBrO5,13,341.7191893381099,2.508652277976128,516.2508,25.38107783556216,9.970384887985665,0.0324685841432892,0.077225086627548,0.3263273845556604,1.9485370250664469,0.5690105839314904,0.2592216954658665,0.5715840184555885,1.192705852626692,True,F-43m,216.0,cubic,96
ab4336465f,Na16HfSnSb8,26,827.5042822464934,3.289187412234083,1639.11630848,20.84547937711575,11.44623591303421,0.0074831574769086,0.0108276857032725,0.2679273682477118,1.5899202477347774,0.5831412548708691,0.5221135540464993,0.5821112453321846,0.6455932172542438,True,F-43m,216.0,cubic,96
193e936fc3,Na16HfZrSb8,26,821.6312265395231,3.257148712760004,1611.6303084800002,20.687285650464865,11.468808403081011,0.0222656661094119,0.035215886313481,0.266040297314209,1.5800760935438938,0.5920088412396317,0.4090975567341396,0.5886154971540261,0.8180017355254842,True,F-43m,216.0,cubic,96
4134d0edbd,Rb16HfSnSb8,26,1252.2104738443722,3.4992296707425927,2638.7648,11.227118648219486,8.687591622504023,0.0722912746277758,0.0903094535632221,0.1924307026248665,1.2572124354109124,0.5935247549223379,0.2433881473313613,0.5729684085262257,1.274936670754052,True,F-43m,216.0,cubic,96
fd5f3d88a3,Na16ZrSnSb8,26,829.5228436818684,3.106494397319897,1551.85030848,20.73725184141756,11.437982050901322,0.0120939760819059,0.018489653597201,0.267046378694227,1.585312879287063,0.6025879267500192,0.5010206938173174,0.6012177691801925,0.7188601121198013,True,F-43m,216.0,cubic,96
