material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
aad189367e,ZrGeBr6,8,294.6775970847149,3.624995137517419,643.288,6.856307491393229,2.984199176262808,0.509358751725027,0.30044605176619454,0.309948811421771,1.836113320599636,0.1338672588490923,0.006030836981277077,0.13996154986718104,2.109687678574004,P312,trigonal,349.8167310977889,moderate,wide
10d40a0dce,CoIrBr6,8,227.9421216301513,5.322171193574639,730.5741949999999,10.914193342671943,3.637859412923774,0.46599399185316115,0.30845564990757635,0.3500076083950478,2.1316421765472744,0.1021132643287625,0.004337178275874256,0.1003304243776895,2.1493452824146644,C2,monoclinic,495.5630471476101,moderate,wide
35c885b13e,ZrSnBr6,8,315.3508669634941,3.6299436957155,689.358,5.29840769418786,2.906129815085663,0.4572598794146021,0.29799134447414194,0.2681446252107992,1.5910595817712565,0.167142848900635,0.005456953360667978,0.1425497941672384,2.1759799419457253,R3,trigonal,398.7536264519891,moderate,wide
eec4222682,Cs2Ni(PdSe2)2,9,275.4732822499035,5.142952005646662,853.1843038,18.28868810855137,6.6390245596078685,0.368637262724428,0.201194279140787,0.3380859694717376,2.0361603418808314,0.2663469507667778,0.025082755224074174,0.2834019187332999,2.1798324983184916,Fmmm,orthorhombic,86.90562415672383,moderate,wide
a204f466ca,EuZrCl6,8,303.2124508551137,2.4967633176672823,455.906,9.135369166789074,3.052457308203524,0.17229265545742045,0.2911547922387478,0.349674927525906,2.1288802843637846,0.1263661999616711,0.007197178141245857,0.13585927708700163,2.223810870511938,R3,trigonal,308.98371929515537,moderate,wide
e7a5db403b,CeErBr6,8,327.3696180560009,3.990933815561623,786.799,12.661381276669388,5.500984588757462,0.2638590461688053,0.18842948087610834,0.3102460040206449,1.838061231205768,0.3300736014932656,0.04014068628665487,0.32623736157955907,2.2494225844253797,C2,monoclinic,56.038468509523724,moderate,wide
1f933cd457,Cs2Pd2PtS4,9,254.65091277144063,5.229684262038871,801.9949038,20.907361477513973,7.075195406284955,0.5140075771114324,0.16749837167082657,0.347948327872747,2.1146387951405554,0.262047178073795,0.027382313604601454,0.2571851550044749,2.2774267118887446,C2/m,monoclinic,83.17144945363692,moderate,wide
1c8b7bc6ec,KSe6Br,8,305.47791515685134,3.222180422527351,592.7623,8.344709763526813,2.971539669715848,0.335008351094212,0.31822273760302316,0.3408425983006186,2.0576174820735544,0.1148828070052221,0.004129395680915981,0.1164791347072787,2.299424209748665,P1,triclinic,556.8427894608074,moderate,wide
9929ca07be,CsK2Cu(AgP)2,8,218.56254162646164,4.196367859608962,552.3319759,24.91859064244757,11.715726280937798,0.12937325811998793,0.08307449489760577,0.2967701521826548,1.7528823622352696,0.9505270634300136,0.34159502065855296,0.9404422102620292,2.3068864586194993,C2/m,monoclinic,6.75327893882091,tight,wide
c0e352a557,K3Ag(PAu)2,8,222.6752486596606,5.078695460103578,681.043762,28.31934149427797,10.564171439115484,0.06335756119800534,0.14472007462847192,0.3341091616903248,2.0058322872389143,0.5808535427812347,0.1328686570348913,0.5849917838843659,2.311913029818376,C2/m,monoclinic,17.399987938549476,tight,wide
