material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold
1d21b4ae34,NaGaBr6,8,336.9603670747021,2.8194872483163165,572.13676928,4.127642096580551,2.0692425280071545,0.0335241045368259,0.0768948116765671,0.2852319723667457,1.684733968321418,0.1062960773232516,0.050962346462119,0.1067694388784234,0.2260681722009087,P1,triclinic,4.435984366790258,6.424408435821533,1.8630589246749878,0.050208242013955816,2.1171041458433395,True
4c996b9ceb,EuPtCl6,8,258.44069157860093,3.596621363205008,559.7660000000001,9.088488939102588,3.247740800679905,0.0380469102589949,0.0661616493864119,0.3403441794120648,2.053711024772724,0.1179624312652995,0.0591627445559471,0.1178387389630602,0.2287585375556704,C2,monoclinic,3.866597793470272,6.5603132247924805,4.6938066482543945,0.41627387673110317,3.5288682359801165,True
0be540b3d8,LiCuI6,8,340.85048118019404,4.05287795194332,831.91382,6.356935856425042,2.7644862179784275,0.1008753678236938,0.0584447277578813,0.3100905182513133,1.837041714754951,0.1183867863575323,0.0562183289974922,0.1166729315761575,0.2313817542240832,C2,monoclinic,4.115770752175945,5.812570571899414,3.545165538787842,0.24290066763646326,2.051754888445866,True
3b333fcade,SrZrBr6,8,341.850592332415,3.1975364569704223,658.268,6.549108959973228,3.210726558382521,0.0440438139540573,0.0132369583911538,0.2893044632792889,1.708311605807226,0.1894298801084239,0.1531451750887298,0.1900028223123251,0.233633604557139,P312,trigonal,1.5255694762944738,7.134209156036377,4.368918418884277,0.3759574947208716,1.984678945611352,True
a204f466ca,EuZrCl6,8,303.2124508551137,2.4967633176672823,455.906,9.135369166789074,3.052457308203524,0.0403913891907977,0.0641658272232555,0.349674927525906,2.1288802843637846,0.1263661999616711,0.0635233598227897,0.1256758669985177,0.2390356676870033,R3,trigonal,3.762956939838164,4.470212936401367,1.9245778322219849,0.08336585782084666,1.515802791032658,True
297c9b445d,PdSe6IBr,9,284.00740607763856,4.601376841797324,786.98847,6.343719688329981,3.317419945313926,0.0804010261414983,0.0460210873021504,0.2773402096090032,1.6404487627973037,0.1480984359910521,0.084245904364776,0.1481294071020904,0.249360232979727,P1,triclinic,2.959909266330897,5.577601432800293,6.058770179748535,0.6988110183198621,4.718557719016583,True
9f31c919f8,Rb3BiSbAu3,8,282.7074534033485,6.9194753966039615,1178.043507,20.79162809867564,5.505869220505233,0.0354240898460095,0.0571129610095594,0.3783336453572742,2.3901765380495026,0.1388752939651545,0.0740250083895054,0.1394209682704013,0.2511261287858886,R3m,trigonal,3.392449852413539,17.460634231567383,6.125678539276123,0.22244555490312498,1.6017647815668299,True
1c8b7bc6ec,KSe6Br,8,305.47791515685134,3.222180422527351,592.7623,8.344709763526813,2.971539669715848,0.0785376060011903,0.0701311664580238,0.3408425983006186,2.0576174820735544,0.1148828070052221,0.0556903198510036,0.1162220947114509,0.251303767909088,P1,triclinic,4.512521540214483,9.720988273620605,7.159074306488037,0.8991161128384119,7.826376603050287,True
a0e05c85e7,MoBr5Cl,7,239.96625930935124,3.673857238242029,530.913,6.875097205268106,1.9457924520576488,0.057378966000053,0.1781593790699776,0.3706890342833699,2.31552807427742,0.0466373695071553,0.0076598114149527,0.0480015402167489,0.2547885447965724,Cm,monoclinic,33.26303103222624,5.545167922973633,1.4582427740097046,0.02789519375941602,1.6718783138551552,True
b5387a932b,Cs2Pd(PtSe2)2,9,280.5672713777751,6.381563382631957,1078.2389038,18.323089382002948,5.852464827825875,0.0528721347871779,0.0364780354579023,0.3556651247422467,2.17951511808212,0.1729264467978669,0.1134670320502338,0.1733843816533719,0.2610467033789084,C2/m,monoclinic,2.3006392135412383,16.812158584594727,5.628106117248535,0.1717653457182866,1.006759809871571,True
3301a13de9,Mg(Se3Br)2,9,268.9397352640943,4.061965100898404,657.873,8.891042674340845,3.8151653500403935,0.1015750827160545,0.0357227451359949,0.3122968722769913,1.8515924509552744,0.1552436409571944,0.0903524965073527,0.1567742558687693,0.2698120768675813,P-1,triclinic,2.986216068148427,9.38167953491211,6.878657341003418,0.639979820898712,4.122422129194811,True
ce2b3174a8,K2RbBiSbAu3,8,268.3705782077648,6.715305931014746,1085.304507,23.765034837178177,6.653471996346565,0.055022377161547,0.0285629378258534,0.3719642045867151,2.3277107949890605,0.1957392035559016,0.1363195350521754,0.1962815053905998,0.2842499650174414,R3m,trigonal,2.0851741088219424,19.30115509033203,6.826725006103516,0.26342998680343166,1.3458212867827373,True
027d726fb6,ZrPbBr6,8,319.77937820830306,4.039181641162333,777.848,7.689734501975694,3.5223174028214563,0.0893878484699332,0.035380802804229,0.3013097437200768,1.7808746214866582,0.1764117789586002,0.1032307158984713,0.1755863668103839,0.2870381660319982,R3,trigonal,2.780549989736619,5.01692533493042,1.3062127828598022,0.021478414998635932,8.213444938548951,True
94d8192cb2,Cs2Pd2PtSe4,9,281.6103429417815,5.83511163765161,989.5749038,17.588662701884378,5.615870267435609,0.0684338184004717,0.0449905004488245,0.3557119345649952,2.1799184810632246,0.1701306371874152,0.0988007245541158,0.1698689404859873,0.2911824429675484,C2/m,monoclinic,2.9471691051016533,16.481189727783203,5.0645904541015625,0.13965780292876342,1.218196431703822,True
aad189367e,ZrGeBr6,8,294.6775970847149,3.624995137517419,643.288,6.856307491393229,2.984199176262808,0.119411402210055,0.0662134711893411,0.309948811421771,1.836113320599636,0.1338672588490923,0.0597915386161293,0.1358257757651387,0.295780918361066,P312,trigonal,4.946869159196992,4.209675312042236,2.7872891426086426,0.1844923886990999,1.3781740978731547,True
9fdae5c922,KRbSeBr6,9,316.6671391907952,3.5812535714024145,682.9501,9.912488126866538,4.5667844107727324,0.0335870343984379,0.0147740375533298,0.3003111317837122,1.7746574133227495,0.2465508585441918,0.2040381291212166,0.2474760843169752,0.2973735196717385,F-43m,cubic,1.4574409251472429,10.939047813415527,4.1068010330200195,0.16876340219999872,1.4609260973063842,True
1286eb896b,MnCdI4,6,288.9523646470938,3.878871005468921,674.966925,6.827549766993224,2.974899898010216,0.0835197803469688,0.052130467246139,0.3097691361888957,1.834937235956125,0.1708210678879663,0.0905817947223009,0.1693514302948001,0.3083530134897471,I-4,tetragonal,3.4041389269783555,9.108170509338379,6.895742893218994,1.0393153356893314,6.084233921140047,False
a996f5a4e3,Cd(Se3Br)2,9,279.4094979000615,4.433375684805593,745.979,7.460269801842093,4.018605113075672,0.0755689903167463,0.036022783450333,0.2716651001723529,1.609696274699026,0.2061730639882287,0.132483019672114,0.2066084629995767,0.320302274993625,P-1,triclinic,2.417685494989095,9.087244987487793,8.204231262207031,0.9664289221995166,4.687464518908707,True
164b7cd4e3,MnPtCl6,8,218.0471997545069,3.5239981267423564,462.740045,6.645203048636021,3.246349364248554,0.0333205611432678,0.0795655071307978,0.2899433715128354,1.7120568174395745,0.1573399907402564,0.0731508113833312,0.1570916066626886,0.3205496887855615,C2,monoclinic,4.382038732363328,5.83645486831665,2.9466254711151123,0.1407681683006013,1.1177242173405784,True
