material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern,is_low_kappa_candidate,space_group,space_group_number,crystal_system
660939cd61,IrOF8,20,346.77335352302646,3.44970100498633,720.4072512,3.993025350798576,2.625186771273574,0.0365516924705176,0.0554064085643924,0.2303677560137883,1.4100055328727092,0.0725167611346402,0.0424396094403615,0.0719171688759967,0.1205031274091,"ternary oxide (A-B-O, other ratio)",True,Pmmn,59.0,orthorhombic
51bf6e6de2,Ag2W(OF2)2,36,593.8585297988252,5.6770277871078845,2030.2752512,39.793821433587546,8.211525074215778,0.0650758629630171,0.0793641875389665,0.403464228938748,2.6661307567173003,0.060518295052182,0.0265490901389744,0.0595477218075415,0.137272238791298,complex oxide (4 elements),True,Pbcn,60.0,orthorhombic
68ac500bff,BaSr(Se4O13)2,36,614.8365032325116,3.4370453578190103,1272.6114,14.871272842265538,6.600475001287156,0.0432351256066219,0.0087971428790912,0.3066806779927249,1.8149049117245704,0.1311123518476817,0.1078049324078336,0.1312780106605299,0.1575869352076295,complex oxide (4 elements),True,C2,5.0,monoclinic
7c5e9204bf,TlSbS6(O3F)6,32,526.0029937383595,2.905967616103565,920.5129192,11.769291404142953,5.212555253682591,0.0308557556336523,0.0448422963968907,0.3070397332026545,1.8172161364736183,0.1066307144428294,0.0689834313960069,0.107457315992243,0.1695956173843271,complex oxide (5 elements),True,R-3,148.0,trigonal
598433b870,CsK(CO3)2,20,404.1895127877263,2.399434822304594,584.0431037999999,15.453482182231472,4.64635459245098,0.0311629928651833,0.0652821392341488,0.3633607336075881,2.247500930590154,0.0948244691042325,0.0486808618664765,0.0966819384134245,0.1821896246671933,complex oxide (4 elements),True,P2_1/m,11.0,monoclinic
76034d04ec,Ta4Br11ClO4,20,608.637223010434,4.6440579839213845,1702.1861199999998,11.872871150047349,5.208470751724676,0.054227458300987,0.0271358701454484,0.3086391355072621,1.827567744957324,0.1400893033706494,0.10135824432667,0.1399851197796373,0.1963692539753458,complex oxide (4 elements),True,Amm2,38.0,orthorhombic
40bfba50d6,Cs2Na(CO3)3,30,570.2297456241159,2.7305000328469298,937.65474616,14.994585802096095,5.368471474695951,0.0355358352331856,0.0760691190914474,0.3400724776041628,2.051586529219751,0.1000950401833347,0.0453692788947432,0.1026614307490934,0.2151723441299915,complex oxide (4 elements),True,Pmc2_1,26.0,orthorhombic
b91ac8619e,Cs8Mo6PbO24,39,860.833700636564,4.301779839122243,2230.0692152,21.07119193836474,9.42653580276702,0.0177304973875231,0.0052404228243926,0.3053444111080668,1.8063437707290133,0.2082951769788608,0.1906397565903148,0.2082909593715424,0.2268672096844026,complex oxide (4 elements),True,C2/m,12.0,monoclinic
d3e2f2e94c,Cs6W2O9,34,843.9781312703328,5.1513747938386505,2618.2146228,22.9078116241667,8.373794013046304,0.0621209572356003,0.0585805049488452,0.3370798639440562,2.0284183906923308,0.1460397440536419,0.0766188859080006,0.1433929283565815,0.2627311549569346,"ternary oxide (A-B-O, other ratio)",True,C2/c,15.0,monoclinic
5592eed2ea,SeSO5,14,211.99896879580152,2.9924626126720866,382.044,10.976931434465358,4.835617246045762,0.0795437649503773,0.0467588445906978,0.3079397652177562,1.8230299427432708,0.1576198122491251,0.0906913874085846,0.1597422037592662,0.2663199323885621,"ternary oxide (A-B-O, other ratio)",True,P4/n,85.0,tetragonal
043233727a,Rb4Ru2Cl10O,17,506.5007030146985,2.998278950798352,914.5406,14.04397553701457,5.617354925845373,0.0120516322766273,0.0338997387633985,0.3235359335771688,1.9286175879092045,0.1957001614325601,0.1403990776103701,0.1940239529455912,0.2673298560836057,complex oxide (4 elements),True,I4/mmm,139.0,tetragonal
c0ca40f650,Rb6Au4O,22,892.5181593260814,4.899364936217134,2633.344952,14.11203154484942,5.887592639412657,0.0256176698249566,0.0534751614480686,0.3168661614582171,1.8823102623500845,0.1604495306432597,0.0933377530226594,0.1597546387711323,0.2699285738003217,"ternary oxide (A-B-O, other ratio)",True,R-3c,167.0,trigonal
bc8ab2046a,Rb5AuCO5,24,603.8447591844034,3.939642269535901,1432.626538,23.606729751114152,8.310083245978946,0.0201051536626132,0.0329791652791439,0.3424733736500741,2.070482953485044,0.2007112734213357,0.1438205578097689,0.2011806558582168,0.2794898044501575,complex oxide (4 elements),True,Aem2,39.0,orthorhombic
2fac98237a,KRb4Au3O4,12,327.8444291579463,5.246687606188414,1035.866807,22.23241352096462,7.25955132188357,0.0357826282055259,0.0295635497697183,0.3527609607540763,2.154725026136932,0.2132747285847365,0.1536293183982287,0.2129564800792172,0.2990759436867566,complex oxide (4 elements),True,Fmm2,42.0,orthorhombic
