Material,Bulk modulus (GPa),Shear modulus (GPa),Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),Sound velocity longitudinal (m s-1),Sound velocity transverse (m s-1),Speed of sound (m s-1),Acoustic Debye Temperature (K),Poisson ratio,Gruneisen parameter,Kappa_Slack (W m-1 K-1),Kappa_cal (W m-1 K-1)
mp-12550,194.52534,94.83854,4,55.01191466606725,14.509833496000828,480.6955386,4703.331289279804,2556.5907505899827,2852.1759339057885,223.27183129211244,0.29030845649889797,1.7142026155397527,18.02971099678785,15.440573722314815
mp-569364,129.17427,126.11165,46,380.3673780258444,3.356942798190196,768.950008,9411.142953687842,6129.225940489099,6720.061312108176,276.13112237821747,0.13170794745161005,1.0577525954826588,25.718128711108246,15.450444593941636
mp-5400,130.32791,73.984825,5,84.79829651579844,7.680172148131725,392.20126,5460.192141483698,3103.7436818765855,3450.3571829645994,233.8181518795286,0.26132312008224556,1.5558692505538005,19.298100849599344,15.776321242281979
mp-1016826,156.45453,83.021996,5,60.29937371610635,7.284422698758588,264.52020000000005,6055.924282147807,3375.973387886718,3758.9798866384867,285.39231768906535,0.2745542167256917,1.625240689141025,19.203490437680195,16.061143074564942
mp-13067,161.81728,89.25648,5,63.628778284746694,10.070075446595666,385.86662,5280.830632488981,2977.1691437437635,3311.914891866163,246.98534412911872,0.26703885410840905,1.5852736149635487,19.519483685740635,16.120181472156123
mp-20704,116.75065,88.74007,13,196.93249163615212,5.680091525493193,673.6333988,6433.119519620044,3952.594009750373,4362.092889360936,223.21960120762643,0.19678241554914855,1.2734864093687543,22.72457277524467,16.160485526174867
mp-2748,70.601395,41.41167,2,56.356968625092165,6.336010342611066,215.0376,4456.168941288408,2556.5449740380514,2839.8128412793108,220.52122045399346,0.2546855582389838,1.5227464713460583,20.298090410914174,16.390418078492463
mp-19940,137.74573,86.52456,8,121.55928779828052,6.877322125552669,503.4524,6066.61628958445,3546.99040739127,3933.4017774534855,236.4007251403669,0.24030258862808088,1.454511123842654,20.90262066333713,16.403619681761576
mp-10108,110.96464,56.209316,2,45.95589983967936,9.682780726714505,267.973762,4381.792367751272,2409.373352070188,2685.602814295903,223.22246633993802,0.2833120801276198,1.6737925215835487,19.932636410177377,16.90027416935618
mp-5677,113.38887,71.42122,5,79.30162618350118,6.804771338403287,324.97244,5536.919930575277,3239.715403007896,3592.407437774593,248.94386779198805,0.23971088409839172,1.4518024286275457,21.953223198923542,17.207027685390585
mp-3536,160.78496,102.32217,14,131.89768346748647,3.582135924550869,284.5313544,9108.858841010147,5344.583084430824,5924.911496760754,346.5341357718517,0.23749054068617675,1.441704775468373,22.275341766917844,17.378952804080534
mp-754282,79.88094,55.157257,4,67.98194311708389,5.062051895213018,207.2388,5505.329075205688,3300.943067063417,3651.8876454495903,266.39705936721043,0.21934917451940253,1.362957179101296,23.377793854392927,17.531209974762792
mp-22289,168.9128,86.50316,4,47.130393013148584,8.506951571429614,241.449285,5780.474809086455,3188.812637851637,3553.511611205652,292.8873370444659,0.28127839843932967,1.6623214872793108,20.76537262341555,17.552478357214913
mp-28029,121.58797,96.87276,16,245.85924851534156,5.157947181664247,763.685144,6972.418598406122,4333.7353304182125,4776.891818706804,227.0177245822739,0.18523052013826624,1.2309322105172966,25.517469605812966,17.636576596089697
mp-429,148.15613,69.32663,2,23.137628954813987,8.90656878235837,124.1024,5197.387014993439,2789.9397880597294,3115.356640793293,325.49528159149753,0.2976042282161904,1.757973845379978,20.45256885873306,17.682806748309883
