material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,formula_reduced,also_in_this_screen
a453186cd3,Rb3Ag2As2Au,8,254.0186185161511,5.353535747668943,818.9495689999999,23.049466878924903,8.627816638054872,0.0111277194581225,0.0315412837649728,0.3336030548856406,2.002024549836478,0.4379350242313796,0.3193344640619965,0.4381545992706941,0.5993636900538698,True,20.612224578857425,8.063405990600586,0.4151327808927425,True,True,C2/m,monoclinic,0.4379350242313796,Rb3Ag2As2Au,False
bf1f5d1c8c,Rb2HPtI5,9,366.946641731045,4.532301246775036,1001.54989,12.060402730929082,6.379401072427502,0.0272641833621104,0.0465378642091851,0.2751653048711832,1.6285579429699624,0.4384741205219786,0.2796401578906999,0.4365280207704428,0.6903087757741005,True,7.339189529418945,4.645675182342529,0.3253419807360517,True,True,I4mm,tetragonal,0.4384741205219786,Rb2HPtI5,False
e8483382d7,CsCu(AuSe)2,6,196.89771715861616,6.310835010748792,748.3045899,10.5817663200758,4.877066875680675,0.0341145955774426,0.0536740570460647,0.3002422796413633,1.7742299989869064,0.2625358388952026,0.1557675349139184,0.2616357817287247,0.4431383526450714,True,9.795939445495604,5.799289226531982,0.4392934506860497,True,True,C2/m,monoclinic,0.4392934506860497,CsCu(AuSe)2,False
c28fa6f94f,NaTbSnI6,9,396.6664493218378,4.445999255575559,1062.05193928,8.053510996840874,4.759679982359196,0.0565060479876748,0.0992091087948221,0.2531304496189759,1.5151399054782904,0.3271145133288379,0.1267226437488659,0.3229206893499,0.8228699889018536,True,7.459804534912109,5.249942779541016,0.4472968273873851,True,True,R3,trigonal,0.4472968273873851,NaTbSnI6,False
cb3cf94167,Rb3Li(SbAu)2,8,280.50493244042576,5.332560436717565,900.797538,19.67778753877538,8.035063661779715,0.0482495577465693,0.063890420365671,0.3202940465206043,1.9058868538221168,0.4479669350614015,0.2352410286059532,0.4472114524587366,0.8534498304246313,True,17.19968605041504,5.839437007904053,0.2268845312945092,True,True,C2/m,monoclinic,0.4479669350614015,Rb3Li(SbAu)2,False
18e6fdcbe4,VHg2F6,9,154.54959220641763,6.082519829346056,566.1119192,15.223743653856438,8.42978071987192,0.0937453990820866,0.0578845410381974,0.2662766242845418,1.5813038415626115,0.4513282018264097,0.2245920641653684,0.4538150293908365,0.8429476133558732,True,21.888595581054688,5.969928741455078,0.125583342742672,True,True,P-1,triclinic,0.4513282018264097,VHg2F6,False
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.0491416411768873,0.0411833555246183,0.34870736617421,2.1208805090546594,0.4514134316518436,0.2805148064208487,0.4535955355184561,0.7073783582459436,True,36.3021354675293,9.356131553649902,0.3574431626047917,True,True,I-42m,tetragonal,0.4514134316518436,CsK2SbO4,False
1ea216bb3c,Er2CuBr5,8,304.6162094683423,4.347829667557896,797.584,17.654012001227688,7.339694985238196,0.0550278728728096,0.0417981664874692,0.3174257637831326,1.8861275310333163,0.4539076757722417,0.2816923379244667,0.4493341536941639,0.7265153637415294,True,11.349957466125488,5.0473222732543945,0.278140038242755,True,True,P1,triclinic,0.4539076757722417,Er2CuBr5,False
7578a98a0d,Rb2Hf(Te2Au)2,9,314.70613479210937,6.6154267021966975,1253.758738,15.557442395067524,6.79392170691878,0.0177130484452106,0.0213813681874889,0.3093959690170097,1.8324984075534456,0.3103803314879496,0.2519691971332006,0.3112962346612427,0.3891844613970647,True,15.434806823730469,7.876546859741211,0.4560511747195785,True,True,C222,orthorhombic,0.4560511747195785,Rb2Hf(Te2Au)2,False
dc166d4b9e,NaPrSnI6,9,412.6100718235165,4.201690074972626,1044.03423928,8.089759291332518,4.598659912720898,0.0507568498335737,0.0906573555484758,0.2610501338874657,1.5544856187776788,0.3115855584809462,0.1336535249015882,0.3076249946180792,0.7188435995678648,True,6.417746543884277,4.927595615386963,0.4585177124050346,True,True,R3,trigonal,0.4585177124050346,NaPrSnI6,False
