material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
164bdb440d,ErAgBr4,12,410.9113707425922,4.806848337098762,1189.4864,15.838420867221847,5.363163039784989,0.0703987486535455,0.0214289130236536,0.347863387343905,2.1139421624005723,0.1587951899907721,0.1101894770616881,0.1581738491134257,0.2249029517683544,True,Imma,74.0,orthorhombic
c77f6227f9,CsNb(Te2Au)2,32,1191.8213920558485,6.298426554754869,4520.5798796,18.158197726790103,7.064701145347409,0.0350378890479626,0.0576413838284964,0.3278002399258496,1.959179392152386,0.1305870488067258,0.0725203664084801,0.1301500478533772,0.2354338999125678,True,Pna2_1,33.0,orthorhombic
9b17530653,Cs3Ag2Cl7,24,803.6539128252459,3.564769424397316,1725.2475114,12.974724486391032,6.143448377690344,0.0241323128888819,0.0160399423771161,0.2955256525429107,1.745328060281316,0.2029734645576084,0.1688525590586321,0.2027090388793486,0.2441286273647624,True,Ccce,68.0,orthorhombic
3de986a96e,NaHgSI,16,519.2266047868591,4.893724256451216,1530.19695712,18.066833065082243,6.482909253001791,0.0624798959412445,0.0165367560637715,0.3397525101478811,2.0490891621435408,0.1807573106531368,0.1319766950973242,0.1806677812922707,0.2465568404266517,True,Cmmm,65.0,orthorhombic
24872db72d,CsRb2Nb2Br10N,32,1172.763622290161,3.689038530864024,2605.4010238,11.292272335182767,4.988065913805468,0.0283375276756489,0.0794816252695752,0.3074843326754935,1.8200844097021,0.1154108148249279,0.0513358880775289,0.1140074485589859,0.2506376336676018,True,P-4n2,118.0,tetragonal
3b878f1e21,K5(EuI4)3,20,900.0559518509091,4.011312528562594,2174.23714,12.889777670854905,5.95688544402279,0.0177741430260902,0.0115485357888067,0.2997740235434357,1.771327454918292,0.221944928992695,0.194773502172294,0.2218682154259178,0.2515910553809079,True,P-62m,189.0,hexagonal
832150dfc6,Rb6NaLi3(ZrBi3)2,36,1360.8902566607462,4.863538805124004,3985.89993856,20.44964408847798,8.272094614314849,0.0937918004846271,0.0045056465208183,0.3217759421603486,1.9162242534245584,0.1824678592858886,0.1223786544906046,0.180841303920798,0.2622179173662193,True,Iba2,45.0,orthorhombic
debc0a58fb,Cs3CeI6,20,1029.4026224755314,4.194920653649075,2600.5183514,10.775670875569066,4.854314845989518,0.0554803928560248,0.0456639585924325,0.3041631979296257,1.7988285773834378,0.1625274842873279,0.1000604911714986,0.1602168155106826,0.2647988219618444,True,P4_2/m,84.0,tetragonal
7059880322,K5SbAu2,16,625.0917506330555,3.778484919753721,1422.369276,14.058896875254156,4.935923668134588,0.076279655787352,0.0568756664064974,0.3428470673264893,2.073449337320389,0.1419439002186249,0.0766590557009335,0.1413189437286955,0.267373965892453,True,I4/mcm,140.0,tetragonal
3ef08e95ea,AgHgTeBr,16,559.1285353596923,6.1293626563684045,2063.8488,36.47067566107009,8.186275845845206,0.0745093030760093,0.0599939832122991,0.3955817093158432,2.574067043325014,0.1400249803871805,0.0725522032078065,0.1402224740921289,0.2695278465740088,True,Pmma,51.0,orthorhombic
