compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
Sn3Yb1,aflow:d1a20f2b9212802b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Sn3Yb1_ICSD_106106,221,cP4,2.19193,2.45641,195.051,11.7664,40.4278,23.9784,4,7.89209
Ir1Yb1,aflow:643740d81b353d90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ir1Yb1_ICSD_104603,221,cP2,2.19207,3.86662,182.001,5.89557,91.95,33.1813,2,15.7442
Ba1Cl2,aflow:6a9703b2d7b80183,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1Cl2_ICSD_2191,225,cF12,2.19217,1.59276,191.923,8.83416,29.2,12.4996,3,3.40199
Cr1Te1,aflow:53c8683bd5648144,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cr1Te1_ICSD_181056,216,cF8,2.1923,0.0805987,60.0371,5.989,39.4056,1.51943,2,4.68531
Cu2Er1In1,aflow:4a0edc6c85268591,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Er1In1_ICSD_102885,225,cF16,2.19235,3.42503,249.118,11.617,87.8167,39.5262,4,9.50237
Ag2Ti2,aflow:7fc090bb2747841c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Ti1_ICSD_605934,129,tP4,2.1924,5.10615,311.061,11.4017,94.3181,44.4517,4,7.13176
Cd2Cr4Se8,aflow:93b797b5d52e531c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Cr2Se4_ICSD_39416,227,cF56,2.19268,1.13475,244.101,40.7148,62.4944,24.1896,14,5.36274
Ge4Nb4Rh4,aflow:56871722031ba9a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Nb1Rh1_ICSD_637230,62,oP12,2.19282,6.07234,409.057,32.9105,204.238,92.1239,12,9.48515
Br4Na4O12,aflow:ef261ad7b35866a4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br1Na1O3_ICSD_47174,198,cP20,2.19283,2.39887,482.232,53.1165,27.4095,15.9495,20,3.17918
Cl3Cs1Pb1,aflow:cd7dedbd84a6e2f8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl3Cs1Pb1_ICSD_181780,221,cP5,2.19288,0.719095,150.025,14.8349,21.8944,9.40627,5,3.93047
Ni6S8,aflow:91d9e0e03fe24ae7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ni3S4_ICSD_36271,227,cF56,2.19297,2.15776,383.181,38.8629,113.356,40.2721,14,4.8382
Cl6Cs2Se1,aflow:92d5bfe0c38ef3d0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl6Cs2Se1_ICSD_26693,225,cF36,2.19306,1.02532,219.9,26.3584,8.43333,5.11528,9,3.05164
Cu2Hf1In1,aflow:e4037d5debb3f095,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2Hf1In1_ICSD_54594,225,cF16,2.19319,4.78808,278.956,11.5144,121.528,51.7826,4,10.7137
Cu2In1Lu1,aflow:e090cc03d970ae93,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu2In1Lu1_ICSD_102992,225,cF16,2.19322,3.80571,256.99,11.5919,73.2667,35.6764,4,9.91367
O8Re4,aflow:056f3166cb6547e9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/ORe_pv/A2B_mP12_14_2e_e-002.AB,14,mP12,2.19327,8.08927,501.023,31.4891,282.423,119.857,12,10.8563
P4Ru2,aflow:8f06f3be73b68d89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_42607,58,oP6,2.1933,20.7771,628.159,14.6179,182.95,136.902,6,6.13687
La2Rh4,aflow:0eaa14ed14809d87,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La1Rh2_ICSD_104705,227,cF24,2.19336,3.44221,261.046,17.356,135.822,45.6168,6,9.98161
