compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
Ag2Ca2,aflow:348aaceb97a7cad5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1Ca1_ICSD_54979,63,oS8,2.03814,1.334,182.959,11.7983,34.0954,13.0578,4,4.42425,aflow_348aaceb97a7cad5.poscar
K2N6,aflow:79d559760bbaa9ae,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/K1N3_ICSD_155168,140,tI16,2.0384,7.33008,611.04,19.7209,19.8719,11.5715,8,1.94061,aflow_79d559760bbaa9ae.poscar
Ba1Se1,aflow:cf0f068c99c6f727,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Se1_ICSD_52695,221,cP2,2.04025,3.18191,182.047,5.89689,38.8944,17.3248,2,5.54953,aflow_cf0f068c99c6f727.poscar
Ba2S6,aflow:b9591503600010ee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ba1S3_ICSD_23637,113,tP8,2.04054,2.83248,299.905,22.8901,33.27,19.237,8,3.74867,aflow_b9591503600010ee.poscar
Ca8Cl12O2,aflow:305466170501fcd5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca4Cl6O1_ICSD_33883,186,hP22,2.04314,0.931659,310.904,62.7544,38.6551,15.8241,22,2.58258,aflow_305466170501fcd5.poscar
Na16Sb8Sn2,aflow:333b7c39a00045da,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Na8Sb4Sn1_ICSD_655768,227,cF104,2.04646,0.347404,187.09,76.6662,19.9,9.0566,26,3.19394,aflow_333b7c39a00045da.poscar
K4Na4Te4,aflow:8d27db05a832e079,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/K1Na1Te1_ICSD_67276,62,oP12,2.04665,0.593697,184.139,35.4178,17.8722,10.4032,12,3.03892,aflow_8d27db05a832e079.poscar
Cl4Mg2,aflow:be2eab8817d5e84f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Cl2Mg1_ICSD_51246,40,oS12,2.04666,1.42745,273.918,17.3142,36.0385,12.3264,6,1.98504,aflow_be2eab8817d5e84f.poscar
Ba1Cd1,aflow:6d05d48201243e90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Cd1_ICSD_58642,221,cP2,2.04788,2.05258,146.86,5.93579,20.9778,13.7644,2,5.37969,aflow_6d05d48201243e90.poscar
In1Mg3,aflow:125f9d220099a79b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/In1Mg3_ICSD_51975,221,cP4,2.04849,2.0439,251.977,11.6188,44.25,18.6461,4,3.44394,aflow_125f9d220099a79b.poscar
N6Tl2,aflow:7096cd4718249e6e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/N3Tl1_ICSD_25009,140,tI16,2.04852,2.58524,296.911,22.9026,22.0143,8.8854,8,5.45336,aflow_7096cd4718249e6e.poscar
