rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
81,11c28343d0,K3Ag(AsAu)2,8,C2/m,monoclinic,0.5898,0.429,0.5898,0.1489,0.593,2.3712,15.92,wide,False,11c28343d0,24.53447770429957,13.055644655191788,2.28090003286564,0.5876739998564907,23.855362,14.634326,2.376972,0.631383794661727,0.5876739998564907,0.2149653725592588
82,f3a677860c,Cs2NiPdPtSe4,9,C2/m,monoclinic,0.2888,0.2535,0.2888,0.0283,0.2966,2.3776,84.11,wide,False,f3a677860c,14.468948566244276,10.221243167146149,2.2283648800306404,0.3914734544874909,20.661312,13.310803,2.312417,0.5361147002058472,0.3914734544874909,0.1156921617183561
83,ebe89027cc,Rb4LiAgAs2,8,C2/m,monoclinic,0.7902,0.7649,0.7902,0.2276,0.7856,2.3959,10.53,wide,False,ebe89027cc,13.155532380756068,8.701380666036835,2.007271208344104,0.5406574011952492,14.325658,12.3585415,2.0669765,0.8562331840676822,0.5406574011952492,0.259749741622566
84,e8483382d7,CsCu(AuSe)2,6,C2/m,monoclinic,0.2625,0.4393,0.4393,0.0237,0.2684,2.4034,101.6,wide,False,e8483382d7,58.82649409559827,13.608665385088331,2.5000521803289595,0.5995274904379505,35.97284,10.883039,2.5684335,0.3987745139462711,0.5995274904379505,0.2224993377076574
85,8f3701b860,Ta2RuSe6,9,Cm,monoclinic,0.9537,0.7716,0.9537,0.3307,0.956,2.4603,7.44,wide,False,8f3701b860,45.01620997700935,32.040295420184414,2.121228839600178,1.8967647460889656,40.617798,26.675549,2.12382,1.4401110352751838,1.8967647460889656,0.6348053465185057
86,a5d005c70b,Cs2Os(Cl2F)2,9,I4/mmm,tetragonal,0.2637,0.2829,0.2829,0.0229,0.2667,2.4745,108.12,wide,False,a5d005c70b,12.478767418721295,6.069859848294197,2.2546836735414133,0.2153403267470285,11.819629,6.365061,2.2508593,0.2315825237925609,0.2153403267470285,0.0726586806911723
87,12d9ab62e2,ZnCd2SbI3,7,Pm,monoclinic,0.3991,0.8769,0.8769,0.0509,0.4042,2.4915,48.97,wide,False,12d9ab62e2,24.12890066964066,9.369293765699576,2.323751629121263,0.452591193480709,22.239233,8.299795,2.3731291,0.3594539543791684,0.452591193480709,0.1335448753803681
88,a50d5f760c,TmInSnI6,9,R3,trigonal,0.202,0.382,0.382,0.0092,0.1899,2.5004,273.11,wide,False,a50d5f760c,13.861777657426767,10.243221576609814,2.259698661140157,0.4932781054141354,20.648062,7.5489383,2.2624602,0.3162815461265713,0.4932781054141354,0.1883194435234029
89,de7281ffad,ErAuBr2,8,Pm,monoclinic,0.6825,0.4893,0.6825,0.166,0.6778,2.524,15.2,wide,False,de7281ffad,37.966644737476045,11.555250750694483,2.312141002977016,0.4934783836618133,44.51658,12.887391,2.534982,0.4655130914598601,0.4934783836618133,0.1446125793252883
90,f4cac039b3,TePdBr2,8,P-1,triclinic,0.1842,0.1612,0.1842,0.0114,0.1904,2.5442,223.85,wide,False,f4cac039b3,22.16990888657436,9.59236711493998,2.324662091555312,0.3669675514041136,23.034843,10.108492,2.382468,0.3745697831619737,0.3669675514041136,0.1202212544949325
91,391d35ee8b,Cs2Ru(Cl2F)2,9,I4/mmm,tetragonal,0.329,0.2452,0.329,0.0377,0.3383,2.5582,67.95,wide,False,391d35ee8b,11.890292580916288,5.928919149436055,2.2339863577692003,0.2267491483530427,11.601144,6.282992,2.2401958,0.2453606646416932,0.2267491483530427,0.0723064498665275
92,452c058c00,ZrTi(ICl)3,8,P1,triclinic,0.2009,0.2948,0.2948,0.0088,0.2069,2.6122,297.93,wide,False,452c058c00,18.31870180077568,8.117643807191527,2.0875694443070163,0.5098346912957292,25.889832,7.682579,2.0683548,0.4822033677677647,0.5098346912957292,0.1701133332532246
93,e4f9941a4e,K3RbLiAgAs2,8,P1,triclinic,0.8928,0.6524,0.8928,0.2815,0.8764,2.6186,9.3,wide,False,e4f9941a4e,14.518576480841071,9.79333519886775,1.9951761420141363,0.6979824879539255,15.52494,14.244218,2.0604153,1.1379308030770956,0.6979824879539255,0.4886468780783415
94,39b7b87056,Er2AsBr5,8,P1,triclinic,0.7239,0.3378,0.7239,0.1322,0.6738,2.6407,19.98,wide,False,39b7b87056,19.10954991094596,11.509919653953215,2.1385704419983167,0.734645118788612,26.614443,12.055986,2.242252,0.7146782295912452,0.734645118788612,0.2712602179963241
95,77e5bac279,K2Cd(IF)2,7,C2/m,monoclinic,0.7043,0.8123,0.8123,0.1464,0.7148,2.7039,18.47,wide,False,77e5bac279,20.117767497318265,9.959388965600098,2.2536853207374725,0.5311763523427612,16.606018,9.916059,2.282256,0.510590994549066,0.5311763523427612,0.1740037791917756
96,8871a9f1c7,Rb4Cu2SbAs,8,Amm2,orthorhombic,0.7028,0.6222,0.7028,0.1445,0.6936,2.7226,18.84,wide,False,8871a9f1c7,15.865151454207904,7.53752189616796,2.191870110169456,0.3504473810226063,18.34357,6.98228,2.1810813,0.3173130767945557,0.3504473810226063,0.1244510949109048
97,15aca1906a,K2RbSbO4,8,I-42m,tetragonal,0.4618,0.558,0.558,0.0701,0.4411,2.739,39.07,wide,False,15aca1906a,29.768874142511724,13.374700947853666,2.125779052218915,0.836755633440487,32.656555,17.06185,2.1606028,1.160423456916667,0.836755633440487,0.7013291796952673
98,42894cf736,K2Zr(Te2Au)2,9,C222,orthorhombic,0.4575,0.8196,0.8196,0.0551,0.4454,2.7398,49.75,wide,False,42894cf736,11.9215192593369,10.336386994897415,2.2086731503409576,0.4131877100160116,19.727663,10.9274845,2.2409303,0.439818907851747,0.4131877100160116,0.3295642630083533
99,639f58958e,CsK2Li(AgAs)2,8,C2/m,monoclinic,0.834,0.4928,0.834,0.235,0.8186,2.7648,11.77,wide,False,639f58958e,21.86386096857129,13.24739671621513,2.204008426715575,0.7622958695002238,18.8823,15.207768,2.2462807,0.8923492172611948,0.7622958695002238,0.2971797469434776
100,ed99e65d29,Er2Pd(SeBr2)2,9,C2/m,monoclinic,0.8165,0.4649,0.8165,0.1874,0.7947,2.7678,14.77,wide,False,ed99e65d29,34.71586282948395,18.595231674880484,2.1844924256138327,1.0376005338117196,37.44281,15.143557,2.3776228,0.6325294309036833,1.0376005338117196,0.2773816352078257
