material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,family
86de4f66a6,Dy2Mn(TeO)2,7,157.78424717843805,7.021022790606646,667.1368449999999,63.35705268678565,24.199008165210145,0.0118802331872833,0.0612842330661813,0.3305946511956175,1.9796272672846829,1.7905528665409531,0.9876953510629992,1.8050462145447337,3.310007237163305,False,66.11869812011719,27.334325790405277,2.341942612590393,False,True,other oxide (mixed-anion / molecular-ion)
af06b96a62,Ba2Hg(IO)2,7,215.6948120959967,5.8590011296938425,761.05174,27.59457274878816,15.981496851685137,0.0769745876121607,0.1067701098624669,0.2572804832781546,1.5355678016189689,1.8035265751160063,0.6099871691320449,1.828440155202483,5.015633751495464,False,28.274497985839844,13.817922592163086,1.2206891091742489,False,True,other oxide (mixed-anion / molecular-ion)
d890b52180,Nd2Mn(SeO)2,7,149.80021046067014,5.9120965681542055,533.340845,68.62681597808262,24.949359498996497,0.0178022389020692,0.0233363319516039,0.3378717217475575,2.034507741712245,1.9022897996641333,1.4977047288390146,1.8798875401634807,2.412627488141003,False,61.24102783203125,26.75540542602539,2.5770207133348446,False,True,other oxide (mixed-anion / molecular-ion)
4685f33ad1,Ho2Mn(TeO)2,7,156.02462341263757,7.15193572432041,671.997485,66.20568364494333,25.69766549738255,0.020691073181805,0.0688731777653432,0.3281588526193622,1.961784628749752,1.968365721543607,1.0015037448538533,2.0116584094752783,3.91547259360874,False,66.34539031982422,27.563051223754883,2.3532209503739265,False,True,other oxide (mixed-anion / molecular-ion)
5503eef436,Tb2Mn(TeO)2,7,159.07179356823931,6.889562749557842,659.987545,61.181234063575566,24.98429676530969,0.0025640978844736,0.0716666776329233,0.3202809918304274,1.9057961800161287,2.044323151651638,1.013479802278735,2.05589091788643,4.092374946824164,False,60.996803283691406,26.845117568969727,2.4669505716446327,False,True,other oxide (mixed-anion / molecular-ion)
d7a4292447,Pr2Mn(SeO)2,7,152.39269235025213,5.738855714120152,526.6721449999999,73.03959760084796,26.92242586777012,0.0043524697789546,0.0254822142558258,0.3358663681642393,2.0191432326570844,2.2098249332176,1.7186506050818997,2.2493459520050143,2.856778500384612,False,67.42626190185547,26.07841682434082,2.220220627492045,False,True,other oxide (mixed-anion / molecular-ion)
c58512f97b,Sm2Mn(SeO)2,7,145.5911141995174,6.22257526636618,545.5768449999999,73.9289381438717,27.6655883299078,0.0112991143686942,0.0134313056651477,0.3336420814734173,2.002317757860916,2.213570805003556,1.912759307405541,2.2034883992925542,2.560372549833491,False,65.57818603515625,28.52987098693848,2.727483625823861,False,True,other oxide (mixed-anion / molecular-ion)
3799952409,Y2Mn(TeO)2,7,158.36979805482417,5.451764688755365,519.948545,66.26628725644386,27.03661999766256,0.0439245857486545,0.0562764830401702,0.320422682568825,1.906780685315387,2.5807438808261454,1.4153728153038396,2.562740765704107,4.619146935345142,False,62.92539978027344,26.48851585388184,2.5881963973543543,False,True,other oxide (mixed-anion / molecular-ion)
543092864c,La2Mn(SO)2,7,143.19831771507444,4.973300867971035,428.877785,76.80720547487442,31.66753691417098,0.0257409793720745,0.0583197039886387,0.3187589804227683,1.8952714075685315,3.3497327107893047,1.880962714295489,3.3343243607639783,5.855377253342648,False,73.9056625366211,36.67516326904297,5.077777971526831,False,True,other oxide (mixed-anion / molecular-ion)
f361d7516d,Li2Mn2Se2O,7,110.75645513519676,4.462991357746694,297.67749000000003,65.36836450499344,38.67551627129468,0.0321997019307355,0.0215717958206171,0.2529043200809787,1.514038590533647,6.361869703805224,5.013822531843002,6.363803704817926,7.946769544979006,False,71.93496704101562,28.90829086303711,2.7538290576191486,False,True,other oxide (mixed-anion / molecular-ion)
f4b3cdc686,Ca3C3O,7,102.74021410770467,2.7842417446897896,172.2655,62.20546872223891,39.049453621547,0.0344766001834232,0.0285825604849859,0.240438449629558,1.4551341277360363,8.440889213281153,6.337531456528262,8.428615448168369,11.162897171368758,False,74.13926696777344,37.1744270324707,6.266619532689055,False,True,other oxide (mixed-anion / molecular-ion)
dc89ac5634,Sr3CaP2O,7,176.76924652432788,3.5779656784223515,380.884924,52.072559116027946,36.489397358774376,0.0474620796545228,0.0338563975637028,0.2159725655042927,1.348999867502379,8.937212413051068,6.262362980620501,8.958374021015274,12.647173802104897,False,53.6724739074707,38.823822021484375,10.09693500362563,False,True,other oxide (mixed-anion / molecular-ion)
44cc9d9400,NbIClO,8,209.27518949753195,4.304793374395921,542.5265,15.057897490349257,9.630557738917794,0.0515846904033893,0.0950813481441355,0.2364102865556606,1.4368296947004795,0.9387921906087464,0.3587700659685537,0.9330270216094524,2.2138291928234173,True,11.780754089355469,7.249369621276855,0.5908151380592804,True,True,other oxide (mixed-anion / molecular-ion)
0d392955a3,Nb2I3BrO2,8,232.30843707796257,4.849405490141894,678.4289699999999,13.017284324000943,9.276549031788944,0.0216257165428547,0.0484083908325905,0.2120777230210989,1.333157944076756,0.957768116596644,0.6077168291248723,0.9500104928011152,1.47569090021917,True,11.798924446105955,7.893750667572021,0.7091589277169904,True,True,other oxide (mixed-anion / molecular-ion)
