material_id,formula,n_atoms,K_alignn,G_alignn,Kappa_alignn,alignn_prediction_reliable,Kappa_r9_gamma,K_r9_pred,G_r9_pred
af152697fe,Dy6LuCoBr12,20,14.686366081237793,9.72727108001709,0.5077044074150384,True,1.767285322775148,114.38697641899516,36.06728146494867
211742b209,TeOsBr9,22,5.26253080368042,2.3869102001190186,0.04919905218274091,True,1.293123394734721,84.90676473014155,26.911814796747656
30845a73d8,NaPr5SmCoBr12,20,11.438265800476074,9.056756973266602,0.6250762604324912,True,1.912301992656608,97.79452089491856,34.566534201403854
9cd1ae700e,HfMn2PtBr12,16,3.771131753921509,2.6833014488220215,0.10250832211018952,True,2.5395338552292035,103.71924709339667,38.40740446458306
1e92addd08,La4Tm2FeBr10,17,12.752318382263184,7.456340789794922,0.37558599565256234,True,2.213914389690526,88.06504588995061,37.40170446855442
df4109dcd2,Gd2S2BrCl,6,14.308537483215332,13.253751754760742,2.8625657217622793,True,4.426874514013264,86.0331607475324,35.83995230635201
83d658b3b2,Pr2Sm4OsBr10,17,13.815014839172363,9.2538480758667,0.5765040225728267,True,2.032290101998713,91.20461342785704,35.87829388933967
dee8db3886,NaBC7,9,114.01667785644531,86.65718078613281,31.565923569447456,True,21.992690799462377,163.79172246833647,104.95623737787172
5c61faff96,Al5CrCl18,24,4.701019287109375,3.6658120155334473,0.18073342956893182,True,4.451699192046927,151.7717728965914,57.57574962936906
e6217c1166,NdDy6FeBr12,20,14.2794771194458,9.9982328414917,0.5699508601637218,True,1.7558958596419894,111.0810387112992,35.587883062477566
9f1bd340bd,LaHo6MnBr12,20,15.171624183654785,10.045823097229004,0.5443550669058597,True,1.7429188099266426,111.869999054779,35.35156684294541
87d6a08951,Mn(SCl6)2,15,3.107464075088501,3.8103537559509277,0.476731466476165,True,3.779949217642621,93.09007977671472,35.58251404791476
a1855d22ef,Pr2Nd4PtBr10,17,11.5974760055542,10.57532024383545,0.9492173504498574,True,2.21962338961448,91.5581004396871,37.72153747769384
1c636e2439,Nd4Dy3FeBr12,20,11.430534362792969,9.595900535583496,0.6549680707615055,True,2.005300867048504,110.87052564588996,37.64428486791762
93716776b5,TaNb4SbCl30,36,2.698080062866211,1.6106643676757812,0.03203821013151658,True,2.4230100984414644,124.83163031940336,44.444900980494445
709535a7ef,Tb3Pr2NdRuBr10,17,12.722630500793457,8.053938865661621,0.44345111327043024,True,2.1871801283729515,97.20235329273284,37.318007514357326
b5e184ccc5,Rb4CeReBr12,18,12.462663650512695,5.634184837341309,0.2019435544198587,True,1.8184726564889424,89.3238944327791,30.269698315669547
9b618235d4,TaNb2SBr7,11,16.57539939880371,8.584633827209473,0.4812613122629397,True,3.364993728630602,129.23944692932665,44.3951176705388
4ea89db82a,Nd5YNiCl10,17,10.766363143920898,13.129194259643555,1.760163627763519,True,2.4427864486736297,114.70072684347002,37.17971213933739
2d3d0b348a,La3Sm3OsBr10,17,13.475613594055176,8.459208488464355,0.4860475367138755,True,2.09034163906354,85.22764862785264,36.101023549358565
8a81b67983,Pr2NdSm3OsBr10,17,13.399128913879395,9.240029335021973,0.5950905609954933,True,2.0108940780479347,88.03614786173415,35.55356659209133
df6603dea7,VCd(GaCl4)4,22,2.2629787921905518,2.042546510696411,0.09133263779611776,True,2.740419496905769,96.56304634391886,39.36172268774717
3cdba4ea18,Pt(SeBr6)2,15,3.9866347312927246,1.699400544166565,0.03628436579710532,True,2.208137465831644,84.14383735252424,31.88484465701047
2b3d4c63ec,LiTb6FeBr12,20,11.953822135925293,6.841317176818848,0.2675265143926945,True,1.7093296848808257,116.81299627548556,35.34928009357597
8c22889829,Cs2Cd(BrCl)2,7,20.169437408447266,9.633044242858887,0.9127303867524864,True,2.707608900006504,60.596299895062906,27.09243972097078
588672ac93,Sm2Dy4PtBr10,17,16.445316314697266,8.611631393432617,0.3807008474048778,True,2.0562281251614043,106.62231667202448,37.225995387518
b6af3ad283,CaTb6NiBr12,20,11.86683464050293,7.252490043640137,0.3206774339796526,True,1.7455097543056504,117.90927397413324,33.91674017727785
c6dc199743,CaTm6NiBr12,20,14.248614311218262,8.37295150756836,0.360883318565994,True,1.7303454363525348,119.44050100566588,35.9201765175546
e6cc345fd9,PPtCl9,22,2.1123340129852295,0.7384098172187805,0.0069370827892144,True,2.366922750334324,101.71289490758424,38.17626419283574
419d69a530,Tb2Er5FeBr12,20,14.16657543182373,9.653998374938965,0.5102643028496611,True,1.7280315885133886,115.31358370758876,36.18037554718568
762cff0394,Tb4Ho3CoBr12,20,13.80033016204834,9.438390731811523,0.5068925305717534,True,1.7257350784255563,118.37441442671698,34.98756209923548
fc638db406,NdY5(CBr5)2,18,13.242877006530762,9.402176856994629,0.6084282797792449,True,2.1970813067975308,106.78272366612045,37.9372910374533
